6.671042,7.075117,6.153910,6.439388
6.711726,7.010212,6.688834,6.395208
6.602742,6.717981,6.629068,6.603479
6.837357,6.693276,7.018788,6.370079
6.455485,6.871821,6.102110,6.788975
6.198396,6.601158,6.745519,6.733560
6.864106,6.426876,6.680968,6.410358
6.492793,6.152904,6.384173,6.483873
6.192610,6.172627,6.945552,6.519189
6.458323,6.429837,6.579157,6.993696
6.847037,6.857052,6.114049,6.946824
6.937387,6.961345,6.532769,6.792748
6.830830,6.447561,6.538686,6.297713
6.480774,6.214666,6.746747,6.339395
6.397236,6.673072,6.864589,6.924786
6.177404,6.397141,6.469976,6.275079
6.943342,6.604864,6.468280,6.676991
7.075805,6.362659,6.564642,6.659424
6.430142,6.517181,6.863628,6.192792
6.632714,6.602494,7.052899,6.095510
6.730835,6.248318,6.753488,6.551613
6.368412,6.121807,6.242502,6.361069
6.964353,6.466368,6.421314,6.209032
6.395742,6.812730,6.429208,6.734993
6.326616,6.921321,6.421880,6.163080
6.316191,6.525862,6.597034,7.036325
6.304871,6.722635,6.647124,7.002779
7.065782,6.560137,6.969136,7.011639
6.172938,6.962906,6.971022,7.075674
7.026995,6.941988,6.309105,6.277574
7.032217,6.752577,6.820564,6.104296
6.139887,6.702505,6.199027,6.839541
6.577402,6.853855,6.799247,6.811212
6.500568,6.579015,6.759302,6.914825
6.240498,6.888011,6.580632,6.423251
6.328565,7.078782,6.203750,7.037460
6.540836,6.613755,6.092696,6.740571
6.970350,6.820860,6.929327,6.581518
6.480779,6.162913,7.027159,6.676203
6.560376,6.731951,7.086424,6.544582
6.967829,6.146071,6.236097,6.211534
6.727372,6.401101,7.034909,6.663043
6.491901,6.237984,6.185132,6.904937
7.034869,6.815996,6.632214,6.426599
6.205573,6.236051,6.539895,6.632794
6.770789,7.044057,6.364368,6.887722
6.887735,6.347612,6.335304,6.965797
6.854993,6.855339,6.614803,6.340718
6.322155,6.240047,6.979014,6.761234
